,true_alpha_a_rew,true_alpha_a_pun,true_alpha_K,true_alpha_theta,true_alpha_omega_f,true_alpha_omega_p,infer_alpha_a_rew,infer_alpha_a_pun,infer_alpha_K,infer_alpha_theta,infer_alpha_omega_f,infer_alpha_omega_p
1,-0.2934146928,0.8928751479,0.509851889,-0.5160204738,-0.1309440262,0.1913990764,0.187977279206167,0.921022673075247,1.28046062286256,-0.882472641603725,-0.0430534956839619,0.203247901893005
2,-0.093615394,-0.6433956615,-1.0664458562,0.6817083402,2.7852849386,0.5444207734,-0.208832027651271,-0.761841055562476,-0.662554708355471,0.148566375979029,0.903654056275333,2.35952899792403
3,0.1262981025,0.7024992792,0.8909050492,-0.3775492533,-3.2349112253,-1.1376481355,0.053043817237603,0.94838159771062,0.127296257388402,-0.240308927384576,-3.1283667712094,-1.7993239737489
4,-0.0327413509,-0.0663176563,1.4952584857,0.596831822,-0.7762859275,-1.9016622314,0.000746405558826047,0.0885539250120771,1.30660244692265,-0.725988072413053,-0.916622998210392,-1.59271358115364
5,-0.3539254528,-0.5094128029,-2.8140446982,-3.0048345632,-2.005309994,1.3413634473,-0.951659616250537,-0.875664730485658,0.26685879018304,-0.993164191858962,-2.36484293659278,-1.14699177544551
6,-0.8857613674,-0.0251263767,-1.0595244845,-0.0668690116999999,-0.5630954083,-1.1286766341,-0.962965668631441,-0.0758261506812945,0.0816102866266233,-0.311704088947991,-0.22188573605432,-0.733262925718129
7,-0.0871395284,-0.5970175629,-1.4170867522,-0.5104943458,2.2989072931,2.4305524774,-0.150943150076735,-0.937559748795962,-0.809318416695024,-0.998653808202221,2.13009501822346,2.72265635774605
8,0.1299183461,0.5430769419,-1.2002339248,-0.6283221353,-2.4008361613,-3.3169839081,0.182516340531152,0.656967486900621,-0.0471905397886738,-1.14079118197417,-2.50378738115087,-2.90731972217431
9,0.4439985501,-0.3579721026,0.7293681543,0.3058585069,2.8598158063,1.9458615108,0.901815079714508,-0.930143361171772,0.156009941384266,-0.333386799713333,2.6914869028652,1.90479036448673
10,-0.2598751729,-0.6324713695,-0.5322892463,-0.4482199221,-0.9468471084,-2.4713653949,-0.873762553325468,-0.213200264948307,1.71228151528316,-1.00321685415515,-1.2474230888248,-3.93253733492711
11,0.1277706313,-0.7921996166,-1.0974215324,-0.5945759053,0.7826774621,2.6468256508,0.165376817014155,-0.963045382634021,-0.448512095190147,-1.17501642040915,0.750710254571535,2.20447936249379
12,0.1575738463,0.2086889936,0.5505742795,0.7000691658,-1.0052395065,0.67390079,0.134529365988364,0.0468418681993727,0.707128588791453,0.540890543902401,-1.03586668936512,0.234043473897568
13,-0.2074324497,0.6706635152,-1.3883134707,-0.3704461834,0.0358253436,-1.1447577096,-0.931081803704938,0.892000772929353,0.321700936430013,-0.308850907624232,0.0446177798503168,-0.916778083732537
14,0.3091641927,0.0616733120999999,1.2010060758,-1.833865286,-0.5676924311,-2.2822494974,-0.182215485885509,0.857458957845705,0.406749200671418,-0.920105670808611,-0.942040738100333,-2.32162837113702
15,0.2895824625,0.8536294982,4.5624105252,-0.3003897692,-0.3498372645,-3.4948384724,0.592440218544196,0.490519894753273,0.415822267953836,-0.471929811210875,-0.0407058553046655,-3.21907148969267
16,0.2102722884,0.1126118831,1.9364305831,1.5776235865,-2.5139920553,-1.7362212874,0.163523571465437,0.162115365733418,2.70922276845291,-0.985110365514071,-2.8442990943809,-2.60721494929963
17,0.2481153841,0.6863101626,-0.3285325163,-1.7426292341,-0.612157925,1.0689967623,0.868550773786097,0.501957319487409,0.329209449433579,-0.291912042708785,-0.707304344113668,1.36139904582521
18,-0.1460405858,-0.3210987463,-0.4312918637,-1.5003795738,3.1235517531,-1.5811218828,-0.115497847119095,-0.922450133090799,-0.711335035294972,-1.34322489981576,2.76172042643061,-1.70876862563241
19,-0.1059353111,-0.3961068184,2.7587278732,0.76205972,-1.7089450508,-3.8685877601,-0.596168962948948,0.0985301183016798,1.2976404937339,-0.91847084034459,-1.84821129819476,-4.25999509534449
20,-0.0716304455,-0.1363276616,1.2395322069,-2.952191952,3.3106801235,-0.6246359104,-0.0383874996666252,-0.18996570295716,-0.0911032704332815,-0.568411159409053,3.02206253903492,-0.735650527141533