"true_a_rew","true_a_pun","true_K","true_theta","true_omega_f","true_omega_p","infer_a_rew","infer_a_pun","infer_K","infer_theta","infer_omega_f","infer_omega_p","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
0.7723430426,0.974202948,0.4534147606,0.3797395428,-1.4311365478,-0.9269511746,0.192134475090329,0.93705993962086,0.589936640957458,0.445972143023925,-0.512586026226034,-1.05085385242926,2,1,4,4,4,1,2,2,2,2,1,2,2,2,2,2,2,2,4,2,4,2,2,2,2,2,2,4,2,4,2,2,4,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3,1,3,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,3,4
0.8538051828,0.5187070149,0.8884002919,0.2338182042,-0.0813787889,0.6232347971,0.842852699138812,0.636568401516208,1.4001490846351,0.183980877852703,-1.98145037805898,1.033850000439,2,1,1,1,2,2,3,1,2,3,3,2,1,1,2,1,1,4,4,2,1,1,2,2,4,4,1,1,2,2,4,1,2,2,2,2,1,2,4,1,1,1,4,4,1,1,3,1,3,3,4,4,3,3,3,4,1,1,1,1,2,4,4,4,3,2,4,4,4,3,3,3,1,3,1,1,1,1,1,1,3,1,4,4,4,4,1,1,1,4,3,4,3,1,4,4,1,4,3,3
0.0315313683,0.1122839721,4.1901680519,4.3132236389,-0.6690257093,-1.5659247055,0.0128337594368114,0.170876802529696,2.83931118510244,1.29106677710875,-0.446097693009857,-2.0269835615951,2,2,2,2,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,3,4,4,2,2,4,4,2,2,2,2,2,3,4,4,2,2,4,4,2,3,4,3,4,3,4,3,3,4,3,3,4,4,4,3,4,3,3,4,3,4,3,4,3,4,4,3,4,3,3,4,3,3,3,3,3,3,3,4,3,4,3,4,3,4,4,4,3,4,4,3,4,4,3,4,3,3,3,3,3
0.9580757366,0.3748447744,3.9201643631,3.329634203,-1.3824559254,-1.0317704951,0.947207761325227,0.437605558354496,0.352893319655523,2.80418404094572,-1.55375159428229,-0.393609226747278,2,1,1,2,2,3,3,4,1,4,4,1,1,4,3,1,1,2,1,3,4,1,1,1,2,4,3,2,4,2,3,2,2,3,4,2,3,2,2,4,3,3,4,3,3,3,1,1,4,3,3,1,1,1,4,3,1,1,1,1,4,3,1,1,1,1,4,3,1,1,3,3,3,4,4,3,3,1,1,1,1,1,4,1,3,4,3,3,1,4,3,1,3,1,1,1,4,1,4,3
0.9706713159,0.7458527094,3.2325836838,3.1665275879,1.9309766861,1.4950637482,0.373634543271389,0.775043297937431,1.8358965088446,2.87358070840532,1.81876940974596,0.592644004726085,2,4,4,4,4,4,4,4,4,4,1,1,1,2,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,3,3,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.7411915886,0.5889769043,4.5550884294,1.047458892,-1.5440805832,-0.7670650185,0.782547850287422,0.714765825446379,2.06575453032034,0.631642785202004,-1.77862626870537,1.24547323234066,2,1,2,2,1,1,2,1,3,2,3,3,2,2,3,2,2,2,2,2,1,1,2,1,1,4,2,4,3,3,3,3,4,4,1,1,1,1,4,1,1,1,3,1,1,1,1,4,3,4,3,4,4,3,3,1,4,4,3,1,4,1,3,3,1,4,3,3,4,3,1,1,4,3,3,1,1,1,4,3,4,3,1,1,3,3,4,3,4,3,3,4,3,3,3,3,3,4,1,1
0.9572308158,0.1268107021,4.2781946517,3.7321605842,1.1229197849,0.5172833182,0.957371990726663,0.0902192688616485,1.7236448390123,1.5296492334482,1.06392111188589,2.82056326092461,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
0.5900663584,0.4609602134,2.8396696915,1.1466533378,-1.5987128348,-1.1757595052,0.613955951900545,0.801846660123481,2.05390965339672,0.400286075385024,-2.15575938521189,-0.106802452364935,2,2,1,2,1,1,1,2,2,1,1,3,3,3,2,2,2,4,2,2,2,4,1,4,4,4,4,4,3,1,1,1,1,1,4,4,3,4,1,4,1,3,1,1,3,3,1,1,1,1,3,1,1,1,1,3,4,3,1,4,3,1,4,3,1,4,3,3,4,4,3,3,1,1,1,1,3,4,4,3,3,4,4,4,3,1,1,1,1,3,3,3,3,1,4,1,4,3,3,4
0.5236880666,0.881469804,1.5983728282,3.1794064999,0.3080444135,-0.7395300013,0.527020685551822,0.671975061614709,2.46853235436014,1.53946046464623,0.500378767125806,0.122187911772119,2,1,3,1,3,3,2,2,2,2,2,2,2,2,2,2,4,3,4,4,4,4,4,3,3,4,3,4,4,4,1,3,1,1,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3
0.5281768242,0.101929415,4.2012518352,0.0719738511,1.4565076112,0.6561154285,0.0970401961809586,0.0339691342293443,0.958424489744831,0.048073672834084,-1.53592135818208,2.34730410866866,2,1,2,4,1,3,1,1,3,3,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,1,3,1,1,3,1,3,1,1,2,2,4,4,3,4,4,3,3,4,1,1,4,1,1,3,2,2,2,3,1,3,1,1,1,4,3,1,1,1,1,3,3,3,2,1,1,3,3,4,2,2,3,4,4,4,4,3
0.1366365832,0.5320438585,2.4097975835,1.9974442638,1.2952836854,-1.5958540095,0.0448976121676494,0.53201481882728,3.51703997391667,1.74936714458217,1.94158504137772,-0.402575215597611,2,1,1,1,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.8505389487,0.4628733504,1.9538092251,1.3631575448,-1.1059752859,-0.4216383395,0.570919514453001,0.415242783392837,1.92476606743753,0.703912787514323,-1.34245205664616,-1.06456409662922,2,1,2,2,1,1,2,2,1,1,1,2,1,3,2,3,3,2,4,4,4,4,2,4,4,2,3,4,4,4,4,1,4,3,4,4,4,3,4,4,3,1,4,4,3,3,1,1,1,1,3,1,1,1,1,1,3,3,4,4,4,3,4,1,4,3,3,4,4,4,4,3,3,3,4,4,3,3,3,3,3,4,3,4,3,4,3,4,4,4,4,3,3,3,1,4,4,4,3,3
0.8613586125,0.7961754964,1.8383606163,1.8172707176,1.4434158372,-1.9569279024,0.963328462474117,0.967707268635682,2.16819048150592,1.70634268435014,1.73306555301015,-2.17121491208781,2,2,2,3,3,2,2,2,2,2,2,2,1,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,1,1,1,3,3,3,1,1,3,3,3,3,3,1,1,3,3,1,1,3,3,3,3,3,3,3,3,3,1,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,1,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,1,3,3,3
0.11221001,0.5539188888,2.0861845568,4.0133615276,-0.8183475782,-0.1675779865,0.201809478515144,0.717893076564744,3.0051780337882,1.92049535280295,-1.0069747390852,0.328157563664323,2,1,1,4,2,2,2,1,2,2,2,3,2,2,2,1,1,2,2,1,1,1,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.1932918073,0.2365707001,3.653247134,4.381374343,-0.8844655326,-1.5234438879,0.139849832478181,0.216692190382905,2.90858147884395,3.08996306651207,-0.981542205569991,-1.36176715599358,2,2,3,3,2,2,1,1,1,3,2,3,2,4,2,2,2,3,2,2,3,2,3,2,4,3,1,4,4,1,4,4,4,3,4,3,3,4,3,4,4,3,3,3,3,4,4,3,4,4,3,3,3,3,4,3,3,4,3,4,4,3,4,3,4,4,3,4,3,4,3,4,4,3,4,4,3,4,3,3,4,3,3,4,3,4,3,4,3,3,3,4,3,3,3,4,3,4,3,3
0.156000601,0.1928167158,2.3243967064,0.2984680129,-0.3254615933,-0.8866191362,0.157349310583065,0.0949627075026163,0.999812692403576,0.0286079166929644,-0.290181714158919,-0.942466573736469,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,3,2,4,4,2,2,4,2,2,2,2,3,3,3,3,1,1,1,4,4,4,3,4,3,4,3,2,2,2,3,2,2,2,4,3,2,2,2,4,3,4,4,3
0.2067565453,0.0840519329,2.5232540302,4.2699013267,-0.7716769736,0.6836235983,0.1945173103714,0.0889836603139081,2.9164277902508,3.78919163917972,-0.706115100790749,0.531251669180389,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,1,4,4,4,4,1,1,1,4,3,1,4,4,1,4,4,4,4,4,1,2,2,2,3,3,3,3,3,1,4,4,3,4,4,3,4,4,4,1,4,4,3,3,3,4,3,3,4,3,3,4,4,3,1,4,4,4,4,1,4,1,4,4,1,1,1,3,4
0.3379077649,0.9445621278,4.8246716611,3.8166387718,-1.5831862196,1.7473958858,0.301239718530196,0.739160793151975,0.772243672062926,3.88413794408522,-1.45817449381461,0.627078687377651,2,2,1,1,2,1,2,3,2,3,2,3,3,2,2,2,3,3,2,2,2,4,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,1,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3
0.3075166245,0.5101613445,1.795367967,2.7278039475,0.6177154371,-0.8253906422,0.273724931438724,0.806502155911097,0.682019814659944,1.32980369369868,0.313845136382799,1.35048309814675,2,2,4,1,4,4,2,3,1,2,3,2,2,2,2,2,2,2,4,3,4,4,4,4,3,4,4,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,1,3,3
0.0589791149,0.0126611071,1.9098260047,4.1785642203,-0.3628924853,-0.9676444503,0.214523758168257,0.00561763542911673,2.38175548425533,1.16345705440813,-0.668762649063685,-3.0445927686648,2,1,1,1,2,2,2,1,3,2,1,2,2,1,3,3,1,2,2,2,2,2,2,3,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,1,1,1,2,2,1,2,2,1,4,4,1,2,2,2,4,1,2,1,1,1,1,1,2,4,2,2,1,1,1,2,1,1,1,2
0.0914783329,0.947024461,2.263083719,1.2003044647,1.8259773346,-1.4927833929,0.00813833294821188,0.834174890307767,3.28193135803279,1.5363049533899,3.52900599695474,-0.473927686737961,2,1,1,1,1,1,3,3,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3
0.9218871511,0.1841529214,4.7652373635,0.0977321809,1.9070884442,1.6027233495,0.570143083286218,0.15078885818093,1.55780057340282,0.0713442640031147,0.932138459457613,1.83397546656025,2,2,1,3,2,3,4,4,4,4,1,4,2,4,1,2,4,3,1,2,2,2,4,3,2,2,3,4,2,2,2,2,2,4,4,3,3,2,2,2,4,2,2,4,3,4,4,4,4,3,4,1,4,4,4,3,2,2,1,2,4,4,3,4,4,4,3,3,3,3,3,2,2,2,2,4,2,4,1,2,3,2,2,2,2,2,4,4,4,3,3,3,3,3,3,3,4,4,3,3
0.0707063327,0.4549461418,4.5929676818,3.3644670678,-1.7694345412,1.9557599677,0.129362095696678,0.83914862011723,1.02360449006167,1.5128542981972,-1.95346273810161,3.11508223412597,2,1,4,4,2,4,4,1,3,3,4,3,3,3,3,1,1,1,1,2,2,2,2,2,4,4,2,2,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,4,4,4,4,4,3,4,1
0.4787953564,0.862392461,1.9315032795,0.7583512134,-1.2256821025,-0.2619919189,0.582355087398007,0.798005685319318,2.13714512916227,0.727127643959225,-0.5776045781572,-0.223237217951703,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,3,3,3,3,4,4,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,3,4,3,3,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
0.4909693645,0.1776480923,3.7305856126,3.451864229,-0.260111106,-1.7602066337,0.715953572106696,0.341773252575168,0.871946999773684,2.12331893944497,-0.534087555559469,-1.34447215978431,2,1,1,2,4,1,1,4,4,3,3,4,1,3,3,1,4,4,3,3,3,4,2,3,2,2,2,2,2,4,2,3,2,4,2,2,2,2,2,3,4,3,3,1,1,1,4,4,3,4,3,4,3,4,4,4,3,4,4,3,4,3,1,1,3,3,3,1,3,1,3,4,4,3,3,3,4,1,4,4,1,3,4,3,4,3,4,4,3,1,1,1,3,4,3,3,3,1,4,3
0.1343082035,0.2680249302,1.5510445438,3.900925533,-0.9544720516,0.1374045709,0.169271563888016,0.502295638525086,2.43857202508483,1.32114499915353,-0.909399860745035,0.120738410582762,2,2,1,1,1,1,1,3,3,3,4,4,4,4,2,2,4,4,2,2,2,2,2,2,2,2,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.3600777495,0.0834346165,3.2494122826,0.2877388308,0.1103394866,1.5271724786,0.31119360184009,0.089052942157189,0.903510941490164,0.0284537693300042,0.712232132604271,0.595273075706761,2,4,4,2,1,1,3,4,2,4,2,4,4,4,4,1,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,3,4,4,4,4,3,3,3,2,3,3,2,2,2,3,4,4,4,4,4,3,3,4,4,1,4
0.1155208025,0.1569281862,0.9675390735,3.7909596335,-0.0638500192,1.4412147699,0.279565552854518,0.199549692111325,0.372299361907494,1.28745481321479,0.39006866900454,2.12895239840492,2,2,4,4,2,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.5878563092,0.504620064,1.5954710071,3.3062857165,0.5449346732,-0.7979137228,0.446037608751083,0.428060801331243,0.67644665313691,1.90967093452278,0.290935179869183,0.218384184918333,2,1,1,2,4,4,4,1,3,3,3,4,4,4,4,4,4,3,3,3,2,2,3,2,2,2,2,2,2,2,2,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3
0.5947907566,0.3291329995,1.6054895552,3.7874504881,-1.0650401777,-1.8121718381,0.703089791054816,0.314750507935279,1.67931907690568,2.59741868665458,-0.875514729447787,-3.37710203650116,2,1,2,2,3,1,1,1,2,2,1,2,1,1,2,2,3,3,3,3,3,2,4,3,1,1,1,4,1,3,4,4,1,3,4,1,1,3,4,3,3,4,1,3,4,3,3,4,1,3,4,3,1,4,4,1,3,3,1,4,3,4,4,3,4,4,3,3,1,3,4,3,4,3,4,4,3,3,4,3,4,1,3,1,4,3,4,4,1,4,4,3,1,3,3,3,4,4,4,1
0.3976243039,0.7828700897,0.064524775,2.247780422,-0.8550120814,-0.0210799464,0.365087828608433,0.549762789759578,0.568928171767655,2.81671217630602,-0.769147794073179,-0.455260660471216,2,1,3,1,3,1,1,3,3,3,4,1,1,1,3,2,2,2,4,4,4,2,2,4,4,2,4,2,2,2,4,2,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,4,3,4,3,4,3,3,3,3,3,3,3,4,3,4,1,3,3,4,3,4,3,4,3,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,4
